protocol_id,source,cell_type,gc_subtype,species,age,stimulus_type,step_duration_ms,current_start_pA,current_stop_pA,current_step_pA,current_values_pA,rate_definition,spike_detection_rule,baseline_or_holding_vm_mV,synaptic_blockers,temperature_C,compatible_group,notes
BU2014_MC_TC_2s_0_300pA_50pA,Burton & Urban (2014),MC;TC,,mouse,,somatic depolarizing current step,2000.0,0.0,300.0,50.0,0;50;100;150;200;250;300,Legacy MC/TC summary metrics derived from a two-second firing-rate-versus-current protocol with gain defined as the maximum linear slope.,Not explicitly preserved in the legacy CSVs; see Burton & Urban 2014 methods.,-58.0,,,MC_TC_fI,Retained so downstream renderers can show protocol caveats when MC/TC and GC f-I summaries appear together.
BU2015_GC_intrinsic_current_clamp,Burton & Urban (2015),GC,generic_or_unspecified,mouse,P18-P28,series of depolarizing step current injections,,,,,,"Rheobase, gain, and peak instantaneous rate were summarized from depolarizing step current injections, but the exact step duration and current range are not preserved in the machine-readable table.",,,,32.0,GC_fI_summary,Exact current-step timing and range remain unresolved from the local machine-readable source. Use this protocol id only for same-source summary comparisons unless the method details are re-extracted.
GERAMITA2016_sGC_dGC_intrinsic_current_clamp,"Geramita, Burton & Urban (2016)",GC,sGC;dGC,mouse,P18-P28,intrinsic current-clamp protocol,,,,,,"Subtype spike-train summary rows include rheobase, first-spike latency, gain, and peak instantaneous rate, but the exact current-step timing and range are not preserved in the Figure 4 source-data DOCX.",,,,32.0,GC_subtype_fI_summary,Use this protocol id for subtype-aware summary comparisons only unless the exact Figure 4j/k point-set protocol is recovered.
HU2016_GC_Ih_resonance_protocol,Hu et al. (2016),GC,adult_born_GC,mouse,P15-P60 source cohort,hyperpolarization and resonance protocol,,,,,,Sag amplitude and resonant frequency summary values from mature and developing granule cells.,,-60 or -70 mV depending on experiment,ZD7288 where noted,,GC_Ih_resonance,Secondary constraint only. Do not treat these rows as baseline generic-GC f-I references.
LABARRERA2013_GC_tonic_inhibition_protocol,"Labarrera, London & Angelo (2013)",GC,modulated_GC,mouse,P25-P30,in vivo odor stimulation and pharmacology,,,,,,Holding-current shift and tonic-inhibition summaries under gabazine and furosemide.,,,gabazine or furosemide depending on row,,GC_tonic_inhibition,Pharmacology-only modulation reference. Keep separate from baseline control rows.
STROH2012_GC_TRPC_NMDA_protocol,Stroh et al. (2012),GC,modulated_GC,,,NMDA receptor and TRPC synaptic activation,,,,,,Slow depolarization and pharmacology constraints only.,,,NMDA/TRPC pharmacology,,GC_NMDA_TRPC,Not a baseline intrinsic protocol.
BALU2007_GC_synaptic_excitation_protocol,"Balu, Pressler & Strowbridge (2007)",GC,generic_or_unspecified,,,synaptic excitation protocol,,,,,,Synaptic recruitment and excitation-mode reference only.,,,,,GC_synaptic_excitation,Do not treat as baseline intrinsic f-I data.
KAPOOR2006_GC_glomerular_latency_protocol,Kapoor & Urban (2006),GC,generic_or_unspecified,,,glomerular stimulation,,,,,,Long-latency glomerulus-specific response timing only.,,,,,GC_latency,"Use for synaptic latency constraints, not intrinsic f-I."
GIRIDHAR2012_GC_latency_coding_protocol,Giridhar & Urban (2012),GC,generic_or_unspecified,mouse,,brief glomerular stimulation,,,,,,Long-latency first-spike timing and response-probability constraints only.,,,,37.0,GC_latency,"Use for network-level latency coding constraints, not intrinsic current-clamp f-I."
PRESSLER2007_GC_muscarinic_modulation_protocol,"Pressler, Inoue & Strowbridge (2007)",GC,modulated_GC,,,muscarinic modulation,,,,,,Muscarinic modulation constraints only.,,,,,GC_muscarinic_modulation,Do not include in baseline validation unless the simulation is explicitly muscarinic-modulated.
DONG_HEINBOCKEL2007_GC_mGluR_modulation_protocol,"Dong, Heinbockel, Laaris & Ennis (2007)",GC,modulated_GC,,,group I mGluR modulation,,,,,,Group I mGluR modulation constraints only.,,,,,GC_mGluR_modulation,Do not include in baseline validation unless the simulation is explicitly group-I-mGluR-modulated.
